subject,run,category,n_oddballs,n_responses,accuracy,excluded
102,1,House,27,27,1.0,False
102,2,Face,37,37,1.0,False
102,3,Body,32,32,1.0,False
103,1,Face,34,31,0.9117647058823528,False
103,2,House,38,35,0.9210526315789472,False
103,3,Body,33,32,0.9696969696969696,False
104,1,House,27,25,0.925925925925926,False
104,2,Body,35,35,1.0,False
104,3,Face,38,38,1.0,False
105,1,House,29,25,0.8620689655172413,False
105,2,Body,33,29,0.8787878787878788,False
105,3,Face,33,32,0.9696969696969696,False
106,1,House,31,30,0.967741935483871,False
106,2,Body,33,29,0.8787878787878788,False
106,3,Face,32,29,0.90625,False
107,1,Face,36,33,0.9166666666666666,False
107,2,Body,33,29,0.8787878787878788,False
107,3,House,36,19,0.5277777777777778,True
108,1,Face,29,28,0.9655172413793104,False
108,2,House,29,27,0.9310344827586208,False
108,3,Body,36,35,0.9722222222222222,False
109,1,House,33,32,0.9696969696969696,False
109,2,Face,28,23,0.8214285714285714,False
109,3,Body,25,21,0.84,False
110,1,Body,23,23,1.0,False
110,2,House,26,23,0.8846153846153846,False
110,3,Face,25,24,0.96,False
111,1,Body,34,35,1.0294117647058822,False
111,2,Face,28,28,1.0,False
111,3,House,20,20,1.0,False
112,1,Face,27,27,1.0,False
112,2,Body,31,29,0.935483870967742,False
112,3,House,31,30,0.967741935483871,False
113,1,Body,35,29,0.8285714285714286,False
113,2,Face,21,14,0.6666666666666666,True
113,3,House,37,29,0.7837837837837838,False
115,1,Body,35,34,0.9714285714285714,False
115,2,Face,30,30,1.0,False
115,3,House,24,24,1.0,False
116,1,Body,25,24,0.96,False
116,2,House,29,29,1.0,False
116,3,Face,24,23,0.9583333333333334,False
117,1,Face,34,33,0.9705882352941176,False
117,2,Body,26,24,0.9230769230769232,False
117,3,House,36,34,0.9444444444444444,False
118,1,Face,29,25,0.8620689655172413,False
118,2,House,20,20,1.0,False
118,3,Body,26,24,0.9230769230769232,False
119,1,Body,37,35,0.945945945945946,False
119,2,House,41,42,1.024390243902439,False
119,3,Face,34,30,0.8823529411764706,False
120,1,Face,25,23,0.92,False
120,2,House,21,18,0.8571428571428571,False
120,3,Body,23,21,0.9130434782608696,False
121,1,Face,24,23,0.9583333333333334,False
121,2,House,41,39,0.951219512195122,False
121,3,Body,30,28,0.9333333333333332,False
122,1,Body,31,30,0.967741935483871,False
122,2,House,39,39,1.0,False
122,3,Face,28,27,0.9642857142857144,False
123,1,House,26,26,1.0,False
123,2,Face,39,39,1.0,False
123,3,Body,40,40,1.0,False
124,1,Body,23,24,1.0434782608695652,False
124,2,Face,23,19,0.8260869565217391,False
124,3,House,20,18,0.9,False
125,1,House,30,25,0.8333333333333334,False
125,2,Face,24,16,0.6666666666666666,True
125,3,Body,22,15,0.6818181818181818,True
126,1,Face,28,26,0.9285714285714286,False
126,2,Body,29,19,0.6551724137931034,True
126,3,House,30,26,0.8666666666666667,False
127,1,Body,30,30,1.0,False
127,2,House,24,23,0.9583333333333334,False
127,3,Face,26,25,0.9615384615384616,False
128,1,House,36,14,0.3888888888888889,True
128,2,Face,32,17,0.53125,True
128,3,Body,32,20,0.625,True
129,1,House,25,25,1.0,False
129,2,Body,35,34,0.9714285714285714,False
129,3,Face,31,32,1.032258064516129,False
130,1,Body,29,29,1.0,False
130,2,Face,30,29,0.9666666666666668,False
130,3,House,26,25,0.9615384615384616,False
131,1,House,30,30,1.0,False
131,2,Face,30,29,0.9666666666666668,False
131,3,Body,25,25,1.0,False
201,1,Face,43,26,0.6046511627906976,True
201,2,Body,32,17,0.53125,True
201,3,House,30,22,0.7333333333333333,False
202,1,House,36,36,1.0,False
202,2,Face,32,30,0.9375,False
202,3,Body,32,31,0.96875,False
204,1,House,26,24,0.9230769230769232,False
204,2,Body,25,24,0.96,False
204,3,Face,22,21,0.9545454545454546,False
205,1,House,27,24,0.8888888888888888,False
205,2,Body,30,30,1.0,False
205,3,Face,30,28,0.9333333333333332,False
206,1,House,29,29,1.0,False
206,2,Body,40,39,0.975,False
206,3,Face,28,27,0.9642857142857144,False
207,1,Face,34,35,1.0294117647058822,False
207,2,Body,21,20,0.9523809523809524,False
207,3,House,29,28,0.9655172413793104,False
208,1,Face,29,7,0.2413793103448276,True
208,2,House,37,33,0.8918918918918919,False
208,3,Body,37,14,0.3783783783783784,True
209,1,House,25,15,0.6,True
209,2,Face,21,19,0.9047619047619048,False
209,3,Body,32,29,0.90625,False
210,1,Body,30,25,0.8333333333333334,False
210,2,House,30,29,0.9666666666666668,False
210,3,Face,24,25,1.0416666666666667,False
211,1,Body,24,24,1.0,False
211,2,Face,32,32,1.0,False
211,3,House,26,26,1.0,False
212,1,Face,24,19,0.7916666666666666,False
212,2,Body,32,7,0.21875,True
212,3,House,44,7,0.1590909090909091,True
213,1,Body,30,30,1.0,False
213,2,Face,33,31,0.9393939393939394,False
213,3,House,24,22,0.9166666666666666,False
214,1,Face,25,26,1.04,False
214,2,Body,30,28,0.9333333333333332,False
214,3,House,32,33,1.03125,False
215,1,Body,36,36,1.0,False
215,2,Face,35,35,1.0,False
215,3,House,30,29,0.9666666666666668,False
217,1,Face,35,26,0.7428571428571429,False
217,2,Body,30,25,0.8333333333333334,False
217,3,House,36,34,0.9444444444444444,False
218,1,Face,22,22,1.0,False
218,2,House,22,22,1.0,False
218,3,Body,30,29,0.9666666666666668,False
219,1,Body,24,15,0.625,True
219,2,House,29,23,0.7931034482758621,False
219,3,Face,46,42,0.9130434782608696,False
220,1,Face,35,33,0.9428571428571428,False
220,2,House,33,33,1.0,False
220,3,Body,28,27,0.9642857142857144,False
221,1,Face,36,35,0.9722222222222222,False
221,2,House,22,22,1.0,False
221,3,Body,26,25,0.9615384615384616,False
222,1,Body,24,21,0.875,False
222,2,House,19,16,0.8421052631578947,False
222,3,Face,24,24,1.0,False
223,1,House,30,30,1.0,False
223,2,Face,26,25,0.9615384615384616,False
223,3,Body,29,27,0.9310344827586208,False
224,1,Body,30,27,0.9,False
224,2,Face,31,30,0.967741935483871,False
224,3,House,29,27,0.9310344827586208,False
225,1,House,26,23,0.8846153846153846,False
225,2,Face,38,36,0.9473684210526316,False
225,3,Body,35,34,0.9714285714285714,False
226,1,Face,27,27,1.0,False
226,2,Body,25,25,1.0,False
226,3,House,29,26,0.896551724137931,False
227,1,Body,34,34,1.0,False
227,2,House,31,31,1.0,False
227,3,Face,27,25,0.925925925925926,False
228,1,House,21,21,1.0,False
228,2,Face,38,35,0.9210526315789472,False
228,3,Body,28,27,0.9642857142857144,False
229,1,House,34,33,0.9705882352941176,False
229,2,Body,29,29,1.0,False
229,3,Face,25,23,0.92,False
230,1,Body,39,39,1.0,False
230,2,Face,19,19,1.0,False
230,3,House,32,32,1.0,False
