extraction_method,frequency,n_subjects,mean_high_contrast,mean_low_contrast,mean_difference,std_difference,t_statistic,p_value,cohens_d,significant
beta_mean,high_freq,57,61.752492509302755,16.23371241232413,45.518780096978624,36.78100052504787,9.343390569097052,5.050138552228832e-13,1.237562313346542,True
beta_mean,low_freq,57,10.328893494830936,3.8597230143626287,6.469170480468308,23.183419527631873,2.1067283022189116,0.03963418904188653,0.2790429803833653,True
peak_beta,high_freq,57,314.96037220275525,79.39504565424754,235.56532654850767,219.24604395408096,8.111796144901971,5.063740815490334e-11,1.0744336467838145,True
peak_beta,low_freq,57,57.000702812154294,40.076083322706445,16.924619489447853,183.64638575320714,0.6957832276481727,0.4894421909637837,0.0921587398523158,False
top_10pct_beta_mean,high_freq,57,216.75024163200908,52.79157987590513,163.95866175610396,90.0528859129318,13.74593093756014,1.3650404832262034e-19,1.820693030477984,True
top_10pct_beta_mean,low_freq,57,26.73898082884199,13.936260446447255,12.802720382394728,92.7559465136352,1.0420724798914922,0.3018560778592043,0.13802587180232934,False
top_20pct_beta_mean,high_freq,57,176.12978026680176,42.977331884230196,133.15244838257158,81.78955611313589,12.291042863086236,1.54753981210483e-17,1.6279883974231095,True
top_20pct_beta_mean,low_freq,57,22.131230672545733,10.360040489140037,11.771190183405702,69.33002871301208,1.28184768765454,0.2051778685057287,0.16978487391274436,False
top_10pct_pos_beta_mean,high_freq,57,239.29722387309525,88.29164881064388,151.00557506245138,79.62350432243642,14.318222994904131,2.2862285717917496e-20,1.8964949652423277,True
top_10pct_pos_beta_mean,low_freq,57,103.08526091611974,61.93588588956762,41.14937502655213,41.423799607865234,7.499818256805821,5.165557418068159e-10,0.9933751953246461,True
top_20pct_pos_beta_mean,high_freq,57,209.17822525558563,76.91394784613188,132.26427740945374,63.08621586492918,15.828709686440757,2.4851798865149045e-22,2.096563815027966,True
top_20pct_pos_beta_mean,low_freq,57,89.9160876754494,54.09454226925687,35.821545406192556,31.621729403376865,8.552559968570423,9.610862444120234e-12,1.132814241411072,True
