subject,group,spatial_frequency,high_contrast_beta,low_contrast_beta,percent_signal_change,raw_difference
102,patient,high,364.95156577241823,128.80314520113035,95.654143777451,236.1484205712879
102,patient,low,205.9032978652976,63.28386959686092,105.96302164997198,142.61942826843668
103,patient,high,108.70434133679174,53.18177998978326,68.59459092852326,55.522561347008484
103,patient,low,76.41913155460627,34.4878040762324,75.61533864382505,41.931327478373866
104,patient,high,262.2732847436411,88.24370896506856,99.29879515239507,174.02957577857256
104,patient,low,94.86555623746875,50.95927299264803,60.21784284147529,43.90628324482072
105,patient,high,206.16448396432267,47.703205964916705,124.83768851686006,158.46127799940598
105,patient,low,70.72481239352327,25.056319774264725,95.36010190244389,45.668492619258544
106,patient,high,180.60484903780514,101.57889088812558,56.010284767239085,79.02595814967955
106,patient,low,87.4138666654464,42.67121814012361,68.78982105011781,44.7426485253228
107,patient,high,184.40428773347986,56.891500547989175,105.69002309874413,127.51278718549068
107,patient,low,104.5214754605609,67.43467385638722,43.13518504745718,37.08680160417367
108,patient,high,220.58761401225323,57.78502799589472,116.96737498478265,162.8025860163585
108,patient,low,89.02403767200165,46.06264790131401,63.60566119208128,42.961389770687646
109,patient,high,122.85345109370864,71.1306345255204,53.32686586436254,51.722816568188236
109,patient,low,105.46711943806662,61.27948109147732,52.99974716877084,44.187638346589296
110,patient,high,278.42580762620355,137.51272368624836,67.75668678509693,140.9130839399552
110,patient,low,105.24148516904584,37.74205044891342,94.41567440391961,67.49943472013243
111,patient,high,120.50707808231333,54.87076638693667,74.8513153346289,65.63631169537666
111,patient,low,65.46516043087459,62.130369424612866,5.227128270149672,3.3347910062617245
112,patient,high,288.3798374869811,48.69735941534188,142.21221742335393,239.68247807163922
112,patient,low,94.58790901547569,64.5475720274363,37.754417545561445,30.040336988039385
113,patient,high,401.33264905953706,79.57328520128019,133.8138462994104,321.75936385825685
113,patient,low,84.16324847711685,61.548342137479764,31.040641645938692,22.614906339637088
115,patient,high,214.2615284411918,84.16813204689925,87.1852993308512,130.09339639429257
115,patient,low,109.1873923242611,37.23028652205895,98.29018786416948,71.95710580220215
116,patient,high,160.60311317912087,33.25839934898784,131.37699398860187,127.34471383013303
116,patient,low,52.9678954540035,17.437588198865743,100.9305111241567,35.53030725513776
117,patient,high,133.3814136488655,100.01400439644857,28.593028545177866,33.367409252416934
117,patient,low,88.7999529665953,63.635600508628265,33.01638218154556,25.164352457967034
118,patient,high,293.13262899925485,169.5252026140361,53.43362543078493,123.60742638521876
118,patient,low,61.21001663112956,59.84326874257382,2.2580930114146973,1.366747888555743
119,patient,high,316.19511773642057,138.4787584046239,78.17311205127044,177.71635933179667
119,patient,low,111.51373863880319,81.84085446579846,30.692711971887,29.672884173004732
120,patient,high,81.28009711113674,42.44727828070083,62.77158746389727,38.83281883043591
120,patient,low,64.30812477183605,40.005645393954495,46.59495930260508,24.302479377881554
121,patient,high,227.30622579141914,64.9855847768199,111.06752577093057,162.32064101459923
121,patient,low,112.73611206868503,45.4130405492063,85.13870660077441,67.32307151947873
122,patient,high,103.76226849225841,30.24945726914411,109.71101342877738,73.51281122311431
122,patient,low,76.97611532150667,29.52094541188951,89.1201495756132,47.455169909617155
123,patient,high,297.3493015806091,70.88731392243538,122.9980822785948,226.4619876581737
123,patient,low,130.758192503188,63.916385151020734,68.6702990781829,66.84180735216728
124,patient,high,365.22682583809694,91.4043044766566,119.93160482628325,273.82252136144035
124,patient,low,200.5720334985979,54.83652072803743,114.11952368771713,145.7355127705605
