block_list,fix_dur,target_dur,isi_dur,probe_dur,iti_dur,stim_size,target_list,probe_L,probe_R,correct_resp,condStim,condDur,condOrient,upright_flag,inverted_flag,blocks_practice.thisRepN,blocks_practice.thisTrialN,blocks_practice.thisN,blocks_practice.thisIndex,trials_practice_up.thisRepN,trials_practice_up.thisTrialN,trials_practice_up.thisN,trials_practice_up.thisIndex,trials_practice_inv.thisRepN,trials_practice_inv.thisTrialN,trials_practice_inv.thisN,trials_practice_inv.thisIndex,blocks_order.thisRepN,blocks_order.thisTrialN,blocks_order.thisN,blocks_order.thisIndex,trials_upright.thisRepN,trials_upright.thisTrialN,trials_upright.thisN,trials_upright.thisIndex,trials_inverted.thisRepN,trials_inverted.thisTrialN,trials_inverted.thisN,trials_inverted.thisIndex,thisRow.t,notes,Start.started,Start.stopped,instrPractice.started,key_resp_practice.started,instrPractice.stopped,key_resp_practice.keys,key_resp_practice.rt,key_resp_practice.duration,getReady.started,getReady.stopped,Fixation.started,text_fixation.started,text_fixation.stopped,Fixation.stopped,EncodingUpright.started,orient,image_target_upright.started,image_target_upright.stopped,EncodingUpright.stopped,ISI.started,isi_jittered,text_isi.started,text_isi.stopped,ISI.stopped,ProbeUpPractice.started,image_probePrac_up_left.started,image_probePrace_up_right.started,key_resp_up_prac.started,image_probePrac_up_left.stopped,image_probePrace_up_right.stopped,key_resp_up_prac.stopped,ProbeUpPractice.stopped,key_resp_up_prac.keys,key_resp_up_prac.corr,key_resp_up_prac.rt,key_resp_up_prac.duration,ITI.started,iti_jittered,text_iti.started,text_iti.stopped,ITI.stopped,EncodingInverted.started,image_target_inverted.started,image_target_inverted.stopped,EncodingInverted.stopped,ProbeInvPractice.started,image_probePrac_inv_left.started,image_probePrace_inv_right.started,key_resp_inv_prac.started,image_probePrac_inv_left.stopped,image_probePrace_inv_right.stopped,key_resp_inv_prac.stopped,ProbeInvPractice.stopped,key_resp_inv_prac.keys,key_resp_inv_prac.corr,FB_Practice.started,key_resp_endPractice.started,FB_Practice.stopped,key_resp_endPractice.keys,key_resp_endPractice.rt,key_resp_endPractice.duration,ProbeUpright.started,image_probe_upright_left.started,image_probe_upright_right.started,key_resp_upright.started,image_probe_upright_left.stopped,image_probe_upright_right.stopped,key_resp_upright.stopped,ProbeUpright.stopped,key_resp_upright.keys,key_resp_upright.corr,key_resp_upright.rt,key_resp_upright.duration,IBI.started,text_ibi.started,IBI.stopped,ProbeInverted.started,image_probe_inverted_left.started,image_probe_inverted_right.started,key_resp_inverted.started,image_probe_inverted_left.stopped,image_probe_inverted_right.stopped,key_resp_inverted.stopped,ProbeInverted.stopped,key_resp_inverted.keys,key_resp_inverted.corr,key_resp_inverted.rt,key_resp_inverted.duration,ThankYou.started,text_thanks.started,ThankYou.stopped,participant,session,order,EEG,EyeLink,EyeTribe,Calibrate,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005221100058406591,0.007481200038455427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007497500046156347,0.011245800065807998,23.44675660005305,space,23.38864880008623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/practice_stimuli.csv,0.5,5,0.5,3,0.5,0.41,stimuli/inverted_faces/M125.png,stimuli/inverted_faces/M125morph.png,stimuli/inverted_faces/M125.png,2,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,28.459913600003347,,,,,,,,,,23.46062000002712,28.447793500032276,28.456388400052674,28.459913600003347,28.968900299980305,28.948720599990338,28.94874380005058,upright,28.968900299980305,33.96608919999562,33.9576359000057,33.95765870006289,0.6775099391513426,33.96608919999562,34.64941140008159,34.63255910004955,34.632578600081615,34.64941140008159,34.64941140008159,34.64941140008159,37.64051090006251,37.64051090006251,37.64051090006251,37.63269580004271,right,0,36.22739440004807,0.12808069994207472,37.6347170000663,0.7911750059431917,37.64051090006251,38.44757890002802,38.4163071999792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/practice_stimuli.csv,0.5,5,0.5,3,0.5,0.41,stimuli/inverted_faces/F10.png,stimuli/inverted_faces/F10morph.png,stimuli/inverted_faces/F10.png,2,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,38.44757890002802,,,,,,,,,,,,38.44440590008162,38.44757890002802,38.94288430002052,38.93263440008741,,inverted,,,,43.93375319999177,0.5200461944518427,43.9415923000779,44.46136070007924,44.45022360002622,,,,,,,,,,,,,47.45114930009004,0.5759469313976546,47.45878560002893,48.0594094999833,48.01743190002162,38.93264680006541,38.94288430002052,43.9415923000779,43.933733400073834,44.45023890002631,44.46136070007924,44.46136070007924,44.46136070007924,47.45878560002893,47.45878560002893,47.45878560002893,47.4508560000686,None,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.04234140005428,48.0594094999833,53.81021430005785,space,53.80379759997595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.81023930001538,58.80251359997783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M121.png,stimuli/inverted_faces/M121.png,stimuli/inverted_faces/M121morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,0,0,7,,,,,58.829552500043064,,,,,,,,,,,,58.821833400055766,58.829552500043064,58.829552500043064,58.82215260004159,58.822162900003605,upright,58.829552500043064,59.32727150002029,59.319517600000836,59.31953410001006,0.6524204851706829,59.32727150002029,59.9836832000874,59.96942700003274,,,,,,,,,,,,,62.970265900017694,1.0223020018414357,62.9779207999818,63.99620799999684,63.986667299992405,,,,,,,,,,,,,,,,,,,,,59.969442300032824,59.9836832000874,59.9836832000874,59.9836832000874,62.9779207999818,62.9779207999818,62.9779207999818,62.96987300005276,left,0,60.54793390003033,0.10403749998658895,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F15.png,stimuli/inverted_faces/F15.png,stimuli/inverted_faces/F15morph.png,1,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,1,1,4,,,,,63.99620799999684,,,,,,,,,,,,63.9868491999805,63.99620799999684,63.99620799999684,63.9869822000619,63.98698849999346,upright,63.99620799999684,64.48679190000985,64.47907430003397,64.47909839998465,0.5837674620382567,64.48679190000985,65.06624329998158,65.05395680002403,,,,,,,,,,,,,68.05485770001542,1.2604641233564196,68.06214819999877,69.38012670003809,69.31265510001685,,,,,,,,,,,,,,,,,,,,,65.05397690006066,65.06624329998158,65.06624329998158,65.06624329998158,68.06214819999877,68.06214819999877,68.06214819999877,68.05446540005505,left,0,65.78795919998083,0.10397779999766499,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/M31.png,stimuli/inverted_faces/M31morph.png,stimuli/inverted_faces/M31.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,2,2,27,,,,,69.38012670003809,,,,,,,,,,,,69.31299280002713,69.38012670003809,69.38012670003809,69.3132762000896,69.3132899000775,upright,69.38012670003809,69.87101870006882,69.8629884000402,69.86300870007835,0.5904412058818894,69.87101870006882,70.45994940004312,70.44598349998705,,,,,,,,,,,,,73.44702780002262,1.1399871287113028,73.45457370008808,74.5918450000463,74.580384699977,,,,,,,,,,,,,,,,,,,,,70.4460001999978,70.45994940004312,70.45994940004312,70.45994940004312,73.45457370008808,73.45457370008808,73.45457370008808,73.4467055000132,left,0,71.29960660007782,0.11204839998390526,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
stimuli/inverted_faces/faces_stimuli_UpShort.csv,0,0.5,0.5,3,1,0.41,stimuli/inverted_faces/F9.png,stimuli/inverted_faces/F9morph.png,stimuli/inverted_faces/F9.png,2,faces,short,upright,1,0,,,,,,,,,,,,,0,0,0,0,0,3,3,16,,,,,74.5918450000463,,,,,,,,,,,,74.58077240001876,74.5918450000463,74.5918450000463,74.58108610007912,74.58110120007768,upright,74.5918450000463,75.08823250001296,75.08036550006364,75.08038579998538,0.6948068078584047,75.08823250001296,75.78525980003178,75.77236060006544,,,,,,,,,,,,,78.77256409998517,1.1640403031952478,78.78032190003432,79.93977300007828,79.93063970003277,,,,,,,,,,,,,,,,,,,,,75.77238360000774,75.78525980003178,75.78525980003178,75.78525980003178,78.78032190003432,78.78032190003432,78.78032190003432,78.77227249997668,right,0,76.87568499997724,0.12797730008605868,,,,,,,,,,,,,,,,,,,P002,1,2,False,False,False,False,2025-02-11_15h51.37.847,inversion_effect,2024.1.0,None,2025-02-11 15h52.00.114992 -0800,
