Block,Trial,Condition,Oddball,Reaction Time (s),Stimulus Onset (s),Stimulus Offset (s)
1,1,Condition 4,False,,0.11616705200003707,0.5183287720001317
1,2,Condition 4,False,,0.7261860140001772,1.1295569430003525
1,3,Condition 4,False,,1.3385542150003857,1.740265169000395
1,4,Condition 4,False,,1.9501008150000416,2.3518673850003324
1,5,Condition 4,False,,2.560843116000342,2.963420445000338
1,6,Condition 4,False,,3.1712982040003226,3.573084798000309
1,7,Condition 4,False,,3.78371893800022,4.185652519000087
1,8,Condition 4,False,,4.393140759000289,4.796727906000342
1,9,Condition 4,False,,5.005259914000362,5.407138233000296
1,10,Condition 4,False,,5.615194741000323,6.016721898000014
1,11,Condition 4,True,6.665242778999982,6.22515009100016,6.629357106000043
1,12,Condition 4,False,,6.836942695000289,7.238779272000102
1,13,Condition 4,False,,7.448615951000193,7.850424588000351
1,14,Condition 4,False,,8.058481334000135,8.460786965000352
1,15,Condition 4,False,,8.66963476400042,9.070922049000274
1,16,Condition 4,False,,9.278590311000244,9.680650807000347
1,17,Condition 4,False,,9.889381801000127,10.2918000640002
1,18,Condition 4,True,10.854404523000085,10.500823742000193,10.902172224000424
1,19,Condition 4,False,,11.110682179000378,11.513367790000302
1,20,Condition 4,False,,11.721859395000138,12.123096854000323
2,1,Condition 2,False,,22.33720023600017,22.738946068000132
2,2,Condition 2,False,,22.94704715800026,23.34879595800021
2,3,Condition 2,False,,23.557874711000295,23.962163787999998
2,4,Condition 2,False,,24.17018672200038,24.572025230000236
2,5,Condition 2,False,,24.781173759000012,25.185030573000404
2,6,Condition 2,False,,25.39316411200025,25.795381831000213
2,7,Condition 2,True,,26.004071103000115,26.405932828000005
2,8,Condition 2,False,26.839271969000038,26.614082985000096,27.01614984700018
2,9,Condition 2,False,,27.225180622000153,27.62944243200036
2,10,Condition 2,False,,27.837083913000242,28.238880220000283
2,11,Condition 2,False,,28.44982306100019,28.851511650000248
2,12,Condition 2,False,,29.06049430300027,29.462678966000112
2,13,Condition 2,False,,29.67155166700013,30.073452743000416
2,14,Condition 2,False,,30.281147696000062,30.6831012990001
2,15,Condition 2,False,,30.89219829400008,31.29443534000029
2,16,Condition 2,False,,31.501757978000114,31.903658477000135
2,17,Condition 2,False,,32.11288752400014,32.514928557000076
2,18,Condition 2,False,,32.722578626000086,33.12497195500009
2,19,Condition 2,False,,33.33378781400006,33.73566010600007
2,20,Condition 2,False,,33.94431886600023,34.34661758900029
3,1,Condition 1,False,,44.55917833000012,44.961486439000055
3,2,Condition 1,False,,45.17006364300005,45.57185676800009
3,3,Condition 1,False,,45.7803438130004,46.18226213600019
3,4,Condition 1,False,,46.38945519000026,46.79128962499999
3,5,Condition 1,False,,47.00161723500014,47.40331666700013
3,6,Condition 1,True,48.05133606100026,47.61390807600037,48.01533352300021
3,7,Condition 1,False,,48.223426244000166,48.62532748800004
3,8,Condition 1,False,,48.83570054300026,49.237470445000326
3,9,Condition 1,False,,49.448489707000135,49.850074430000404
3,10,Condition 1,False,,50.057106060000024,50.459536068000034
3,11,Condition 1,False,,50.66835672000025,51.069685498000126
3,12,Condition 1,False,,51.27916324800026,51.68236261400034
3,13,Condition 1,False,,51.890938044999984,52.293358274000184
3,14,Condition 1,False,,52.50156222700025,52.903422954000234
3,15,Condition 1,False,,53.11199230600005,53.51373927300028
3,16,Condition 1,False,,53.721515794000425,54.12391548800042
3,17,Condition 1,False,,54.332503547000215,54.73387198099999
3,18,Condition 1,False,,54.94123371100022,55.34306993300015
3,19,Condition 1,True,55.98252865100039,55.55155379300004,55.952882300000056
3,20,Condition 1,False,,56.160902092000015,56.56251238499999
4,1,Condition 1,False,,66.77446087600038,67.17646030500009
4,2,Condition 1,True,,67.38435907400026,67.78615371100022
4,3,Condition 1,False,67.96038989200042,67.99541386800001,68.39902098200037
